Index; CenterX; CenterY; CenterZ; NormalX; NormalY; NormalZ; RMS; Horiz_ext; Vert_ext; Surf_ext; Surface; Dip dir.; Dip; Family ind.; Subfamily ind.; 
1514;123.124;79.7387;86.2606;0.537461;0.840613;0.0671179;0.0381489;0.611764;0.812478;0.497045;0.291347;32;86;0;0;
1508;107.959;98.87;87.5851;-0.291625;-0.274702;0.916239;0.0148468;0.768649;0.329657;0.25339;0.15139;226;23;0;0;
1510;106.019;104.304;90.7964;0.791874;0.402231;-0.459507;0.0296295;0.470336;0.396914;0.186683;0.119168;243;62;0;0;
1505;123.993;81.5244;91.1678;-0.342497;-0.374086;0.861833;0.0161416;0.611922;0.524357;0.320865;0.165724;222;30;0;0;
265;99.9818;110.62;86.3727;0.764119;0.471297;-0.440456;0.0142901;0.18031;0.256724;0.04629;0.0309007;238;63;0;0;
1503;104.588;105.167;89.6399;0.888381;0.450372;-0.0891277;0.036112;0.593623;0.594154;0.352703;0.296837;243;84;0;0;
383;109.66;93.3051;85.1055;0.702281;0.531869;-0.473199;0.0267708;0.255977;0.174455;0.0446565;0.0314564;232;61;0;0;
988;107.429;101.649;91.143;-0.143612;0.989633;-0.00130229;0.0283431;0.64641;0.493065;0.318722;0.158803;171;89;0;0;
1501;104.984;104.978;90.4505;0.0556785;0.995219;-0.0802426;0.0357959;0.896148;0.363262;0.325536;0.164605;183;85;0;0;
1500;105.489;105.58;92.6398;0.860751;-0.432017;-0.269201;0.0282965;0.560107;0.72748;0.407467;0.254662;296;74;0;0;
1495;104.972;104.148;89.5521;0.748506;0.65885;0.0752096;0.0330461;0.541946;0.352125;0.190832;0.142565;48;85;0;0;
1493;121.243;83.3879;90.8298;0.40735;0.912023;-0.0477495;0.0394775;0.53285;0.487136;0.25957;0.132452;204;87;0;0;
1492;104.514;104.439;88.7544;0.661956;0.689957;-0.29287;0.0449919;0.47534;0.42279;0.200969;0.119981;223;72;0;0;
741;108.286;102.863;92.9721;0.215252;0.905007;-0.366918;0.0230369;0.224098;0.365077;0.081813;0.0671966;193;68;0;0;
1488;99.3218;112.596;87.9237;0.867036;0.0468538;-0.496038;0.0287828;0.382119;0.443776;0.169575;0.124066;266;60;0;0;
1926;108.78;102.96;94.1347;0.952336;0.0810411;-0.294091;0.0303923;0.481325;0.642837;0.309413;0.275262;265;72;0;0;
1301;116.802;87.1695;88.6958;0.925099;0.33798;0.173091;0.0271647;0.601802;0.267426;0.160938;0.137183;69;80;0;0;
82;102.648;110.265;91.6664;0.368014;-0.198123;0.908467;0.0323195;0.158632;0.289434;0.0459136;0.0261237;118;24;0;0;
480;115.36;92.5022;92.7471;-0.0655251;0.983659;-0.167694;0.0407939;1.13195;0.537116;0.607988;0.0559891;176;80;0;0;
1483;98.6543;114.579;85.8032;0.711462;0.698637;-0.0756868;0.0194827;0.427389;0.432982;0.185052;0.149287;225;85;0;0;
1480;123.833;79.7045;88.1793;0.709597;0.691326;-0.136166;0.0363215;0.578338;0.625953;0.362013;0.281107;225;82;0;0;
1477;98.7893;115.447;88.5244;-0.495336;-0.417946;0.761553;0.039399;1.30196;0.733465;0.954943;0.28786;229;40;0;0;
1476;108.986;102.249;93.5955;0.595332;0.612425;-0.520111;0.0300164;0.622975;1.06672;0.66454;0.314214;224;58;0;0;
1470;127.19;77.0525;87.1991;-0.0531713;-0.426836;0.902765;0.0242391;0.753129;0.480088;0.361569;0.232957;187;25;0;0;
1467;103.989;103.709;86.0964;0.645631;0.75471;0.11651;0.0369055;0.878247;0.415365;0.364793;0.279739;40;83;0;0;
455;136.047;71.8617;90.5764;-0.00726979;0.940528;-0.33964;0.0216994;0.217463;0.193591;0.0420989;0.0250368;179;70;0;0;
328;126.221;78.1568;86.9421;0.286286;0.878699;0.382005;0.0344282;0.359527;0.270128;0.0971182;0.0457453;18;67;0;0;
852;99.8946;111.052;85.6199;0.528665;0.5144;-0.675208;0.020361;0.457652;0.21152;0.0968028;0.0614004;225;47;0;0;
1466;132.146;74.4725;89.245;0.0462407;0.958748;0.280471;0.0307624;0.390521;0.327492;0.127893;0.114797;2;73;0;0;
1465;101.18;108.908;87.0626;-0.645539;-0.116125;0.754848;0.0376744;0.40205;0.418114;0.168103;0.116322;259;40;0;0;
1854;103.49;106.99;91.1654;0.879477;0.247967;-0.406242;0.0509843;0.754948;1.38276;1.04391;0.478433;254;66;0;0;
1461;135.926;71.0362;88.9926;0.713926;0.63652;-0.291809;0.0236476;0.378276;0.474416;0.17946;0.12862;228;73;0;0;
1460;123.197;81.2607;89.087;0.949028;0.25158;-0.189878;0.0351203;0.389576;0.495091;0.192875;0.11148;255;79;0;0;
648;106.118;98.8034;85.0644;-0.618585;0.160246;0.769203;0.0220333;0.368112;0.296875;0.109283;0.0733689;284;39;0;0;
1459;112.167;92.0691;87.7587;-0.0953489;0.813018;-0.574378;0.0323839;0.341211;0.438293;0.14955;0.120973;173;54;0;0;
71;122.736;82.9041;91.4087;0.838974;0.286017;-0.462943;0.0169964;0.224564;0.150393;0.0337727;0.0133909;251;62;0;0;
1456;107.965;100.853;90.1007;0.851927;0.491743;0.180025;0.0442422;0.836073;0.621017;0.519215;0.268115;60;79;0;0;
1186;100.952;111.335;90.735;-0.394487;0.0684812;0.916346;0.0359582;0.466566;0.292907;0.136661;0.108151;279;23;0;0;
