Index; CenterX; CenterY; CenterZ; NormalX; NormalY; NormalZ; RMS; Horiz_ext; Vert_ext; Surf_ext; Surface; Dip dir.; Dip; Family ind.; Subfamily ind.; 
580;103.061;113.007;92.8603;0.329454;0.930258;-0.161497;0.0253785;0.24911;0.546371;0.136106;0.0568527;199;80;0;0;
1402;118.52;86.3305;91.1123;0.312547;0.863479;-0.395878;0.0426979;0.439512;0.582068;0.255826;0.18116;199;66;0;0;
95;131.661;76.3243;90.9649;-0.335749;-0.279752;0.89945;0.0102774;0.283481;0.147777;0.041892;0.0252704;230;25;0;0;
1401;109.694;98.0377;92.1544;0.856304;0.503426;-0.115355;0.0393264;0.429893;0.313502;0.134773;0.119937;239;83;0;0;
1397;128.748;77.2429;90.6716;-0.0642145;0.725761;-0.684944;0.0321814;0.814473;0.418827;0.341123;0.158662;174;46;0;0;
1475;125.668;79.7773;89.2121;0.646165;0.753292;0.122564;0.0441129;0.372905;0.379085;0.141363;0.128191;40;82;0;0;
1393;132.933;73.7254;89.6247;0.786839;0.288831;0.5454;0.0258207;0.790298;0.601363;0.475256;0.292135;69;56;0;0;
254;122.494;83.2329;91.4637;0.272267;0.851612;-0.447916;0.029666;0.267132;0.281512;0.0752009;0.0449429;197;63;0;0;
1389;114.268;91.0303;88.38;0.249896;0.942356;0.222524;0.0202849;0.355106;0.469663;0.16678;0.138468;14;77;0;0;
1156;98.9193;114.993;87.8119;0.794928;0.116013;-0.595508;0.0313095;0.284152;0.332451;0.0944666;0.0696423;261;53;0;0;
804;100.984;110.243;89.5322;0.953751;0.207782;-0.217221;0.0189638;0.374498;0.404674;0.15155;0.111941;257;77;0;0;
1388;120.394;83.9014;86.7355;0.721792;0.674018;-0.157213;0.0391358;0.289598;0.791203;0.22913;0.115941;226;80;0;0;
1772;135.33;70.9315;87.947;0.542579;0.837463;0.0652918;0.0453187;1.08285;0.588147;0.636876;0.384596;32;86;0;0;
736;110.334;92.819;85.3288;0.677386;0.333787;-0.655542;0.0204506;0.300773;0.358565;0.107846;0.0692251;243;49;0;0;
1076;97.3766;113.76;84.787;0.319934;0.930026;-0.180816;0.0251574;0.332162;0.444407;0.147615;0.0635601;198;79;0;0;
1383;103.839;108.09;92.4983;0.147853;0.82862;-0.539934;0.0303176;0.611799;0.907108;0.554968;0.332929;190;57;0;0;
1381;116.302;86.4835;85.8092;-0.347499;-0.604048;0.717197;0.0175361;0.522381;0.46892;0.244955;0.139449;209;44;0;0;
1385;105.468;105.036;92.3593;0.663736;0.717663;-0.210745;0.0411551;0.545308;0.590751;0.322141;0.268798;222;77;0;0;
1072;123.661;81.585;90.3057;0.379774;0.848594;-0.368321;0.0329578;0.286379;0.333371;0.0954702;0.0562431;204;68;0;0;
1379;117.988;86.3619;90.754;-0.144277;0.974589;-0.171349;0.0297508;0.690419;0.686653;0.474078;0.363866;171;80;0;0;
1377;107.185;100.788;89.6916;0.35141;0.889564;-0.291867;0.0342517;0.391063;0.315759;0.123482;0.0988617;201;73;0;0;
1376;98.3942;116.365;86.995;0.709177;0.604494;0.362843;0.0286573;0.858261;0.397379;0.341055;0.278631;49;68;0;0;
662;131.299;74.6554;87.024;0.202759;0.919506;-0.336745;0.0334614;0.33076;0.318123;0.105223;0.0741916;192;70;0;0;
1375;111.905;91.2498;86.2848;-0.337261;-0.578562;0.742645;0.0191901;0.512942;0.465205;0.238623;0.155005;210;42;0;0;
1374;111.005;95.0118;89.3536;-0.635802;-0.11627;0.763044;0.0124968;0.47053;0.318039;0.149647;0.129076;259;40;0;0;
1373;99.3537;114.165;88.7429;0.756367;0.00658623;-0.654114;0.0183166;0.295016;0.514637;0.151826;0.133021;269;49;0;0;
1370;114.8;89.1467;88.007;0.443838;0.878979;-0.174365;0.0418574;0.477428;0.448235;0.214;0.123453;206;79;0;0;
334;101.534;112.238;91.7042;0.0811608;-0.631709;0.770946;0.0160394;0.251623;0.206144;0.0518706;0.0417521;172;39;0;0;
1364;129.048;75.786;87.0187;-0.306767;-0.577818;0.75632;0.0297193;0.606396;0.377374;0.228838;0.136524;207;40;0;0;
1361;100.346;113.816;90.9993;-0.558065;-0.2986;0.77421;0.0188899;0.527589;0.337174;0.177889;0.138915;241;39;0;0;
1357;104.672;105.225;90.6783;0.744772;0.287256;-0.602328;0.0193331;0.514696;0.317701;0.163519;0.117401;248;52;0;0;
698;134.336;71.9425;89.3343;0.59153;0.429751;0.682207;0.0302382;0.518103;0.63798;0.330539;0.13004;54;46;0;0;
690;124.274;81.0529;90.7778;0.926569;0.374563;-0.0342415;0.0405191;0.452383;0.594442;0.268915;0.0617813;247;88;0;0;
1355;110.97;92.3455;85.2894;-0.261569;-0.0556164;0.963581;0.0358876;1.083;1.499;1.62342;1.05168;257;15;0;0;
573;98.57;114.236;87.0354;0.893974;0.204158;-0.398912;0.0299961;0.196377;0.42255;0.082979;0.0638186;257;66;0;0;
932;109.672;99.7208;91.0575;0.977945;0.208715;-0.00790872;0.00769447;0.280038;0.283113;0.0792824;0.0771334;257;89;0;0;
1511;107.148;103.358;92.8102;0.559304;0.786804;-0.260995;0.0449999;0.485522;0.793548;0.385285;0.215087;215;74;0;0;
2037;117.726;88.3167;91.8659;-0.521937;-0.461102;0.717612;0.0369814;1.15259;0.915889;1.05565;0.52956;228;44;0;0;
471;111.884;91.446;86.4655;0.316395;0.876692;-0.36236;0.0105858;0.373881;0.112815;0.0421792;0.0355019;199;68;0;0;
428;122.3;83.0109;91.5043;0.998908;0.0463999;-0.00539347;0.0218408;0.36926;0.360891;0.133262;0.0236151;267;89;0;0;
1354;104.788;104.387;89.4616;0.999909;0.0122593;0.00563639;0.0276577;0.614641;0.582193;0.35784;0.159842;89;89;0;0;
1957;107.106;104.707;93.8395;0.706633;0.663107;-0.246899;0.0218449;0.679265;0.793148;0.538757;0.345839;226;75;0;0;
1768;105.959;104.293;91.787;0.751522;0.659578;0.0130996;0.0219842;0.548633;0.69918;0.383593;0.361139;48;89;0;0;
1549;109.608;99.0843;90.0912;0.659194;0.678604;-0.323975;0.0308775;0.443393;0.627468;0.278215;0.128137;224;71;0;0;
1353;123.737;79.5017;86.9094;-0.00210383;0.744493;-0.667626;0.0447679;0.302679;0.465813;0.140992;0.123959;179;48;0;0;
1352;100.183;111.874;89.1845;0.939094;-0.31656;0.133766;0.0300809;0.360768;0.465926;0.168091;0.149927;108;82;0;0;
724;128.396;76.9755;89.8428;-0.0972908;-0.584947;0.805215;0.0187356;0.321665;0.300092;0.0965293;0.0709695;189;36;0;0;
1350;129.168;76.016;87.5537;-0.351516;-0.507285;0.786829;0.028694;0.849439;0.455976;0.387324;0.209599;214;38;0;0;
1349;109.234;96.2654;86.334;0.774258;0.628633;0.0731089;0.0158401;1.04059;0.366895;0.381785;0.348106;50;85;0;0;
1348;100.182;110.773;85.8184;0.491055;0.857219;0.155052;0.0391358;0.418241;0.478203;0.200004;0.131951;29;81;0;0;
11;110.806;100.228;93.9266;-0.283863;0.181254;0.941578;0.01233;0.182294;0.131148;0.0239075;0.0118613;302;19;0;0;
162;112.404;94.3035;92.3814;-0.572608;-0.317177;0.755989;0.0150297;0.387752;0.136385;0.0528834;0.0319364;241;40;0;0;
1347;106.661;102.467;91.6291;0.397049;0.80062;0.448731;0.0267678;0.418747;0.402049;0.168357;0.11361;26;63;0;0;
841;97.6778;112.166;84.6557;0.785614;-0.0289928;-0.618037;0.0514703;0.647759;0.339783;0.220098;0.119798;272;51;0;0;
1344;100.528;113.034;90.51;0.870918;0.236095;-0.431001;0.0345552;0.387835;0.471637;0.182917;0.135658;254;64;0;0;
614;130.131;76.2043;88.2156;0.97621;0.134093;-0.170391;0.022258;0.54624;0.457084;0.249678;0.0769421;262;80;0;0;
1343;100.117;110.964;86.9739;0.799091;-0.127899;-0.587448;0.0243126;0.45198;0.331986;0.150051;0.119145;279;54;0;0;
20;104.498;109.217;93.6571;-0.471526;0.770814;-0.42838;0.0131931;0.149048;0.317953;0.0473904;0.0202209;148;64;0;0;
1342;110.649;95.686;89.3722;-0.585622;-0.328501;0.741036;0.0194074;0.761025;0.496314;0.377707;0.207038;240;42;0;0;
1340;101.234;110.166;89.8576;-0.457739;-0.424445;0.781231;0.0344603;0.537454;0.336796;0.181012;0.116407;227;38;0;0;
1333;119.49;85.2035;89.6483;-0.370486;-0.573845;0.730371;0.0131209;0.48713;0.439961;0.214318;0.135098;212;43;0;0;
1328;99.9495;113.275;89.8573;0.830576;-0.420368;-0.365285;0.0419522;0.56507;0.576185;0.325585;0.215575;296;68;0;0;
631;128.624;76.6523;87.8565;0.375948;0.899207;0.223807;0.0274113;0.332141;0.367618;0.122101;0.0674424;22;77;0;0;
1327;99.4878;112.141;87.2679;0.912248;0.072874;-0.403105;0.0323068;0.33922;0.408532;0.138582;0.123755;265;66;0;0;
1620;104.867;106.497;91.7547;0.127354;0.918046;-0.375464;0.0419136;0.44256;1.07086;0.473918;0.267799;187;67;0;0;
415;131.077;74.2218;86.5872;0.867032;0.498083;0.0129716;0.0366783;0.204289;0.175186;0.0357885;0.0318744;60;89;0;0;
1325;126.592;77.8239;86.9986;0.818174;0.432387;-0.378989;0.0279125;0.588396;0.423733;0.249323;0.155611;242;67;0;0;
1324;111.292;91.1978;85.2345;0.525807;0.535614;-0.660791;0.0252026;0.574283;0.591972;0.339959;0.191775;224;48;0;0;
1664;127.495;78.0026;89.8657;0.00665154;0.73191;-0.681368;0.0484035;1.13246;0.688725;0.779955;0.342472;180;47;0;0;
5;99.3348;112.184;86.162;0.0608704;0.0796151;0.994965;0.0066044;0.304138;0.158603;0.0482372;0.00623523;37;5;0;0;
404;109.283;99.3629;90.3759;0.475391;0.872022;0.116537;0.028545;0.323548;0.217908;0.0705035;0.0439112;28;83;0;0;
1317;125.58;78.8021;87.0546;0.0775601;0.899355;-0.430284;0.0189628;0.674416;0.357833;0.241328;0.195275;184;64;0;0;
499;115.12;92.362;92.922;-0.128891;0.81793;-0.560694;0.0142473;0.411785;0.22174;0.0913089;0.0292554;171;55;0;0;
1315;110.005;92.8251;85.1756;-0.286683;-0.566675;0.772459;0.0307152;0.591276;0.450237;0.266214;0.143908;206;39;0;0;
1902;113.398;91.5134;88.4597;0.384497;0.878554;-0.283381;0.0566295;2.34795;1.76872;4.15286;1.56735;203;73;0;0;
1314;99.4245;114.739;89.1501;0.457754;0.728588;-0.509529;0.0336861;0.461819;0.583098;0.269286;0.170286;212;59;0;0;
1313;121.043;83.593;90.7784;0.883574;0.466331;-0.0427994;0.0366324;0.340955;0.639594;0.218073;0.130796;242;87;0;0;
1312;117.944;85.3963;87.955;0.139778;0.851653;-0.505122;0.0308949;0.366967;0.438677;0.16098;0.11784;189;59;0;0;
1310;116.461;87.3016;89.9467;-0.249071;-0.554958;0.793716;0.0220552;0.744916;0.996566;0.742358;0.379688;204;37;0;0;
1309;111.617;92.8419;90.4696;-0.484893;0.871572;0.0723902;0.0243731;0.813565;0.844172;0.686789;0.505679;330;85;0;0;
1307;133.507;73.1197;87.1914;0.738357;0.39139;0.54922;0.0288712;0.577101;0.276418;0.159521;0.129771;62;56;0;0;
1070;131.992;75.5486;90.4817;0.310694;0.926101;-0.214023;0.0298146;0.226219;0.477581;0.108038;0.0563402;198;77;0;0;
1363;109.336;99.1971;90.1806;0.34712;0.763175;-0.545043;0.0263967;0.381194;0.474365;0.180825;0.123229;204;56;0;0;
1573;103.509;107.429;91.813;0.483702;0.857272;-0.176402;0.0284061;0.503975;0.958567;0.483094;0.24854;209;79;0;0;
1304;116.486;89.503;90.6009;0.501199;0.39494;-0.76995;0.026911;0.533553;0.413414;0.220578;0.120946;231;39;0;0;
1705;108.224;101.405;91.417;0.953708;-0.0294431;0.299289;0.0358162;0.894681;0.739048;0.661212;0.363486;91;72;0;0;
1302;108.476;99.3862;88.6502;-0.0317224;0.988258;-0.149466;0.0298169;0.690832;0.972742;0.672002;0.270331;178;81;0;0;
1804;102.451;109.002;91.2398;-0.270094;-0.173136;0.947139;0.034539;1.81288;1.41437;2.56408;0.822366;237;18;0;0;
1384;109.047;99.8387;89.8158;0.81166;0.152999;0.563737;0.0262193;0.640975;0.313467;0.200924;0.130917;79;55;0;0;
1299;102.831;107.512;91.3052;-0.0611959;-0.340542;0.938236;0.0373832;1.13282;0.668832;0.757664;0.389223;190;20;0;0;
1298;124.633;78.8595;86.2096;0.445016;0.842338;-0.304018;0.0338458;0.625055;0.544879;0.34058;0.205757;207;72;0;0;
441;102.847;106.678;89.1704;-0.0825274;0.991239;-0.103125;0.0349102;0.501522;0.345508;0.17328;0.137829;175;84;0;0;
1297;108.007;102.624;92.6908;-0.429619;0.806537;-0.406111;0.0320965;0.909398;0.570814;0.519097;0.278574;151;66;0;0;
1296;104.587;103.728;87.8735;0.0712351;0.99739;0.0118088;0.0213059;0.378102;0.458299;0.173284;0.133456;4;89;0;0;
1398;128.155;77.571;90.6303;0.683203;0.479072;-0.551111;0.0203902;0.986636;0.345323;0.340708;0.240966;234;56;0;0;
1291;103.574;102.395;84.9579;-0.417782;-0.448331;0.790226;0.027601;0.468826;0.516984;0.242376;0.142866;222;37;0;0;
1294;107.503;102.486;92.6351;0.198932;0.814878;-0.544426;0.020441;0.494652;0.593769;0.293709;0.200345;193;57;0;0;
1293;133.299;72.8687;89.9726;0.475784;0.842164;0.253752;0.0197348;0.607999;0.3145;0.191216;0.136904;29;75;0;0;
297;116.753;89.2238;91.7784;0.71664;0.659828;0.225952;0.0181603;0.228323;0.323216;0.0737975;0.0457154;47;76;0;0;
1290;107.413;99.7313;88.3137;0.568023;0.705327;-0.424104;0.0399159;0.573403;0.662049;0.379621;0.187372;218;64;0;0;
924;130.634;76.007;88.1319;0.114435;0.974635;0.19233;0.0265058;0.347191;0.219421;0.0761811;0.0601425;6;78;0;0;
1289;111.657;91.1732;85.3608;0.1042;-0.629887;0.769665;0.036833;0.420086;0.471065;0.197888;0.159793;170;39;0;0;
1287;120.633;83.7029;88.6727;-0.0381153;0.73228;-0.679936;0.0255244;0.408589;0.371028;0.151598;0.136241;177;47;0;0;
1286;117.853;86.6541;89.7599;0.032843;0.99927;0.0194986;0.034047;0.552737;0.578342;0.319671;0.0923059;1;88;0;0;
1074;100.459;112.799;88.7892;0.965516;0.133877;0.223284;0.025593;0.330831;0.216324;0.0715665;0.0499615;82;77;0;0;
1238;99.8849;115.091;90.2494;0.106309;0.984467;-0.139723;0.0432958;0.364089;0.782094;0.284752;0.108156;186;81;0;0;
1285;105.931;102.783;89.0605;0.162187;0.94456;-0.285485;0.0426223;0.879873;0.451165;0.396968;0.244335;189;73;0;0;
1284;100.23;110.53;85.8806;0.981497;0.136791;-0.133981;0.0461248;0.328589;0.723395;0.237699;0.195429;262;82;0;0;
1635;115.029;89.7622;89.1945;0.602023;0.478275;0.639392;0.0437003;0.494091;0.356943;0.176362;0.122465;51;50;0;0;
1504;123.368;81.9218;90.8998;0.64711;0.432835;-0.627616;0.0358826;0.570383;0.339155;0.193448;0.109196;236;51;0;0;
321;116.636;86.3813;86.8427;0.745974;0.136342;0.651869;0.00637629;0.328457;0.115757;0.0380213;0.0304899;79;49;0;0;
1282;108.001;98.5872;87.3818;0.518864;0.821635;-0.236001;0.0287581;0.486464;0.341274;0.166018;0.130194;212;76;0;0;
1279;106.266;100.163;85.4451;0.997143;0.0451927;-0.0605263;0.022783;0.512512;0.299522;0.153509;0.131448;267;86;0;0;
1278;98.8806;114.89;87.5663;0.94333;0.300924;-0.139902;0.0337817;0.4639;0.288211;0.133701;0.117132;252;81;0;0;
1197;110.659;91.4964;85.2772;0.743498;0.310703;-0.592177;0.042353;0.426449;0.351014;0.14969;0.106321;247;53;0;0;
1276;108.633;100.697;91.1248;0.714253;0.602102;-0.356815;0.0404945;0.560659;0.32327;0.181244;0.124147;229;69;0;0;
1274;110.478;97.2203;92.4272;0.734549;0.299254;-0.609002;0.0227467;0.426414;0.431885;0.184162;0.125235;247;52;0;0;
1679;99.2604;114.849;88.1429;-0.603541;-0.286856;0.743943;0.0298571;0.49867;0.512636;0.255636;0.127901;244;41;0;0;
1273;131.782;74.8524;89.8076;0.947392;0.246261;-0.204462;0.0371251;0.561707;0.59797;0.335884;0.098217;255;78;0;0;
1484;120.284;84.9803;89.9003;0.286207;0.937352;-0.198638;0.0419518;0.36797;0.660834;0.243167;0.138342;196;78;0;0;
1271;123.839;81.1512;90.0915;0.977118;0.211014;0.0266982;0.0294541;0.501431;0.595961;0.298833;0.10145;77;88;0;0;
1576;134.403;72.3794;88.8151;0.664849;-0.260635;-0.700033;0.0281118;0.789414;0.72379;0.57137;0.277824;291;45;0;0;
1272;119.403;84.1998;86.8911;0.176928;0.911906;0.370303;0.029803;0.435434;0.33479;0.145779;0.123222;10;68;0;0;
1270;124.042;79.6363;88.5354;0.20734;0.829195;-0.519081;0.038669;0.749921;0.634244;0.475633;0.200552;194;58;0;0;
55;98.8658;115.155;88.2856;0.0102947;0.998851;-0.0468113;0.0121507;0.195925;0.188592;0.0369499;0.0272333;180;87;0;0;
934;130.557;75.7662;90.3778;0.789038;-0.374;0.487384;0.014999;0.464328;0.386584;0.179502;0.111886;115;60;0;0;
786;122.306;81.905;89.4676;0.905195;0.323017;-0.276192;0.0403039;0.516544;0.386551;0.199671;0.127257;250;73;0;0;
1269;109.195;101.829;93.694;0.880801;-0.0799895;-0.466681;0.0256026;0.424955;0.764245;0.32477;0.19949;275;62;0;0;
1249;127.199;78.1059;90.7072;-0.10661;-0.0168531;0.994158;0.0603086;0.980902;0.451151;0.442535;0.136717;261;6;0;0;
1268;123.505;80.8833;89.5055;0.974177;0.225166;-0.0167209;0.027723;0.57272;0.460369;0.263662;0.179373;256;89;0;0;
1263;116.95;86.5408;90.5277;0.592443;0.789957;0.158052;0.0369559;0.597196;0.553273;0.330412;0.187339;36;80;0;0;
1444;115.74;87.9884;89.3601;0.0108471;0.960364;-0.278539;0.0277962;0.368753;0.85385;0.31486;0.193127;180;73;0;0;
3;127.251;78.8679;90.9177;0.539197;-0.401784;0.74016;0.0114917;0.13728;0.146905;0.020167;0.0109128;126;42;0;0;
1262;128.311;76.1545;86.9449;-0.0995176;-0.459344;0.882666;0.0142929;0.459021;0.528975;0.242811;0.163703;192;28;0;0;
1260;107.696;98.3888;86.6521;0.731493;0.6214;-0.280678;0.0346657;0.486315;0.403552;0.196254;0.142571;229;73;0;0;
1295;103.256;102.43;84.9059;-0.215161;0.776011;-0.592885;0.0398075;0.401132;0.495297;0.19868;0.142109;164;53;0;0;
382;107.927;100.833;89.8722;-0.231423;0.724548;0.64921;0.033115;0.313534;0.306181;0.0959982;0.0306149;342;49;0;0;
1259;100.163;110.601;89.1146;0.259247;0.964882;-0.0423629;0.036489;0.457185;0.331772;0.151681;0.134801;195;87;0;0;
1256;106.964;101.269;88.2799;0.987095;0.155125;-0.0397559;0.0289478;0.341964;0.484796;0.165783;0.156101;261;87;0;0;
1253;107.433;98.0508;85.2224;-0.206163;-0.289306;0.934772;0.0176758;0.927522;0.408128;0.378548;0.144709;215;20;0;0;
90;118.022;85.6598;88.5403;-0.373144;0.551335;0.746185;0.00602336;0.205468;0.100275;0.0206032;0.0127376;325;41;0;0;
1252;116.966;85.7839;87.339;0.995926;0.0841787;-0.0323406;0.029533;0.331326;0.682883;0.226257;0.151038;265;88;0;0;
1251;105.655;98.074;85.0699;0.316335;-0.409811;0.855562;0.0286176;0.9245;0.628892;0.58141;0.158303;142;31;0;0;
1135;105.151;105.954;91.7695;0.998797;0.026841;-0.0410423;0.0104701;0.570391;0.354181;0.202021;0.130229;268;87;0;0;
1063;103.823;106.541;90.5459;0.0131704;0.974516;0.223933;0.0165026;0.251975;0.296015;0.0745885;0.0685229;0;77;0;0;
1247;106.052;103.325;89.5082;0.952928;0.164801;-0.254497;0.0305311;0.268243;0.615275;0.165043;0.139475;260;75;0;0;
1242;111.541;92.8828;88.1676;0.827371;0.553409;-0.0958906;0.0418741;0.473325;0.416218;0.197006;0.149026;236;84;0;0;
1205;107.028;101.162;89.5617;0.977851;0.194956;0.0761579;0.0221937;0.680471;0.50389;0.342882;0.283147;78;85;0;0;
1241;104.719;105.035;90.0272;0.652541;0.742254;-0.152476;0.0380534;0.403503;0.400921;0.161773;0.123422;221;81;0;0;
516;102.988;102.441;84.9337;0.775703;0.547269;-0.314295;0.0278466;0.341937;0.376043;0.128583;0.0704039;234;71;0;0;
1240;126.629;77.2027;88.6449;0.825498;0.564164;0.0164974;0.0426546;0.339137;0.458017;0.155331;0.108813;55;89;0;0;
531;102.38;113.432;92.8245;0.862833;0.226859;-0.451723;0.0239211;0.361382;0.329886;0.119215;0.0651964;255;63;0;0;
1239;116.974;90.8485;92.4627;0.241899;0.707591;-0.663927;0.031717;0.602127;0.405397;0.2441;0.160191;198;48;0;0;
47;98.5526;116.361;87.7354;0.106747;0.992472;-0.0600437;0.0186038;0.208135;0.219314;0.0456468;0.0210339;186;86;0;0;
505;124.12;80.2778;88.8618;0.989616;-0.0339023;-0.139684;0.0253983;0.533809;0.520799;0.278007;0.060502;271;81;0;0;
1234;134.554;71.8549;88.8758;0.570401;0.51788;-0.637529;0.0293903;0.531009;0.332326;0.176468;0.122925;227;50;0;0;
1330;128.497;76.8497;88.2348;0.962352;0.226423;0.150368;0.0120398;0.530171;1.02492;0.543383;0.356695;76;81;0;0;
1604;108.271;99.5467;88.4392;0.838189;0.534665;-0.10757;0.0418442;0.506263;0.428205;0.216784;0.126068;237;83;0;0;
1230;105.486;102.43;87.8346;0.75475;0.582196;-0.302324;0.0321979;0.387782;0.455481;0.176627;0.137194;232;72;0;0;
1555;102.386;105.66;85.0788;0.860063;0.0509028;-0.507641;0.0331087;0.705211;0.433941;0.30602;0.25754;266;59;0;0;
77;101.831;106.959;84.9629;0.34602;-0.740363;0.576309;0.0363132;0.166505;0.26531;0.0441755;0.0300426;154;54;0;0;
1229;114.43;90.311;88.9625;0.894077;0.445232;0.0489377;0.0250683;0.410087;0.446015;0.182905;0.145182;63;87;0;0;
1336;109.316;99.091;89.8602;0.161542;0.945772;-0.281815;0.0325226;0.412647;0.374524;0.154546;0.126338;189;73;0;0;
1226;117.187;86.9927;89.6147;-0.0472104;0.987182;0.152457;0.0665317;1.8414;0.670312;1.23431;0.334704;357;81;0;0;
358;107.627;98.2179;85.4479;0.152527;0.891346;-0.426894;0.0228889;0.277836;0.314179;0.0872901;0.0311601;189;64;0;0;
1425;107.845;97.3524;85.1572;-0.140811;-0.166671;0.975906;0.0301413;0.516537;0.57547;0.297252;0.164494;220;12;0;0;
1014;104.434;100.664;85.041;0.798675;0.328259;-0.504345;0.0352117;0.443825;0.491082;0.217954;0.162736;247;59;0;0;
1507;116.442;86.7966;87.8885;0.667292;-0.503709;-0.548634;0.0235945;0.694411;0.728671;0.505997;0.247518;307;56;0;0;
596;129.315;75.1784;86.4599;0.724569;0.572069;-0.384366;0.0375411;0.316812;0.29566;0.0936684;0.0612517;231;67;0;0;
1224;130.314;76.2296;89.61;-0.288242;-0.632929;0.718552;0.0286043;0.788075;0.443463;0.349483;0.202099;204;44;0;0;
1257;109.13;96.7586;87.0112;0.328529;0.827233;-0.4558;0.0245242;0.497849;0.475962;0.236957;0.114746;201;62;0;0;
1326;111.718;92.4534;87.6016;0.979022;0.18979;-0.0741361;0.050137;0.53123;0.634451;0.337039;0.251305;259;85;0;0;
1223;98.8448;115.416;87.0279;0.847195;-0.0383092;-0.529899;0.0288366;0.50006;0.569427;0.284748;0.19201;272;58;0;0;
364;109.827;100.667;93.9709;0.370616;0.754475;-0.541674;0.0337195;0.217982;0.157331;0.0342952;0.0228864;206;57;0;0;
1222;119.04;85.3312;89.6185;0.113487;0.826952;-0.5507;0.0381252;0.542673;0.468296;0.254132;0.172167;187;56;0;0;
1219;117.341;86.6488;88.7258;0.167928;0.72947;-0.66308;0.024683;0.364864;0.414493;0.151234;0.126905;192;48;0;0;
2045;106.27;101.507;87.6198;0.496056;0.565553;-0.658847;0.0725927;4.36884;3.87258;16.9187;5.11513;221;48;0;0;
1329;99.3252;112.524;86.6301;-0.457264;-0.372861;0.807394;0.0291359;0.560521;0.311807;0.174774;0.116412;230;36;0;0;
1258;100.851;110.947;90.015;0.0660244;0.997797;0.00643011;0.0411601;0.50956;0.496112;0.252799;0.108264;3;89;0;0;
224;121.852;83.5491;91.562;-0.00725474;0.999591;0.0276488;0.0205056;0.574243;0.440842;0.253151;0.11437;359;88;0;0;
1216;100.511;110.521;89.1057;0.814382;0.567037;0.123491;0.0294912;0.322175;0.399327;0.128653;0.114165;55;82;0;0;
142;110.527;92.7049;85.329;0.00287915;0.984078;-0.177712;0.00862915;0.207999;0.221745;0.0461229;0.0346877;180;79;0;0;
1214;136.278;71.3522;89.734;0.88615;0.463077;-0.0172421;0.028123;0.435021;0.325343;0.141531;0.117287;242;89;0;0;
880;117.618;86.4565;88.9896;0.907346;0.391912;0.152079;0.0323036;0.586864;0.321596;0.188733;0.124852;66;81;0;0;
1213;118.388;86.3657;90.307;0.52421;0.802607;0.284651;0.0417882;0.470643;0.530291;0.249578;0.129124;33;73;0;0;
1212;108.283;99.6585;88.7721;0.855286;-0.242196;-0.458068;0.0219225;0.452983;0.428445;0.194078;0.132176;285;62;0;0;
247;122.073;82.2456;89.5249;0.967209;-0.211008;0.141361;0.0278224;0.261173;0.224051;0.0585162;0.0280146;102;81;0;0;
1209;114.535;90.3169;89.3438;0.730349;0.631164;-0.261195;0.0170485;0.616486;0.296911;0.183042;0.166948;229;74;0;0;
81;130.53;75.9838;90.0125;-0.130175;-0.477066;0.869173;0.0026096;0.236469;0.10917;0.0258153;0.0185919;195;29;0;0;
1208;101.038;107.193;84.8381;0.729212;-0.123857;-0.672985;0.0321765;0.511715;0.37081;0.189749;0.137885;279;47;0;0;
1206;117.453;85.3508;85.8032;0.864449;0.408689;-0.292748;0.0444592;0.561545;0.437055;0.245426;0.172839;244;72;0;0;
1202;123.88;79.277;85.864;-0.330102;-0.570506;0.752034;0.0478538;0.462265;0.496253;0.2294;0.134196;210;41;0;0;
1201;134.595;72.2992;90.5809;-0.00485357;-0.649041;0.760738;0.0227154;1.03328;0.167183;0.172747;0.0953251;180;40;0;0;
1199;101.372;108.006;85.0315;0.579332;0.435587;-0.68894;0.0392311;0.602938;0.396634;0.239146;0.125187;233;46;0;0;
1192;116.918;85.8174;86.4983;0.764101;0.60926;0.212018;0.0220702;0.386674;0.423819;0.16388;0.132035;51;77;0;0;
1189;100.541;112.102;89.9922;0.875307;-0.0125105;-0.483406;0.0160182;0.378497;0.601616;0.22771;0.181769;270;61;0;0;
1392;107.866;100.69;89.6339;0.0405583;0.830076;-0.556174;0.0348378;1.08638;0.661856;0.719027;0.364867;182;56;0;0;
1565;115.245;91.0747;91.7873;0.956258;0.255387;-0.142644;0.0375748;1.07828;0.502791;0.542151;0.262367;255;81;0;0;
1316;120.608;84.5519;90.5596;0.767104;-0.269436;-0.582199;0.033744;0.344321;0.504197;0.173606;0.140774;289;54;0;0;
1185;124.809;79.9004;89.1965;0.132572;0.985508;0.105827;0.0354824;0.978174;0.445357;0.435637;0.149318;7;83;0;0;
1756;111.48;92.7171;87.5313;0.408961;0.467959;-0.783432;0.029567;1.83532;1.15981;2.12863;0.648594;221;38;0;0;
1184;110.538;93.4241;85.3512;0.760684;0.627975;-0.16434;0.0297142;0.560736;0.317457;0.178009;0.148295;230;80;0;0;
1145;97.3042;113.929;84.7114;0.843482;-0.24965;-0.475618;0.0243343;0.253843;0.361611;0.0917924;0.0598679;286;61;0;0;
1182;107.749;104.039;93.7146;0.93375;0.154636;-0.322797;0.0228146;0.316367;0.388264;0.122834;0.0999385;260;71;0;0;
