Name,Strike,Dip,Dip_Dir,Cx,Cy,Cz,Nx,Ny,Nz,Sample_Radius,RMS,Gx,Gy,Gz,Length
BD_Face_1_norm_pl_measurements.73/074,344.26617431640625,73.97542572021484,74.26617431640625,121.0135269165039,83.39392852783203,89.18585968017578,0.92513108253479,0.2606320083141327,0.27604958415031433,0.16060826182365417,0.011605494655668736,526321,3.57478e+06,1089.19,0.308341
BD_Face_1_norm_pl_measurements.77/071,341.89373779296875,77.76371002197266,71.89373016357422,121.18643188476562,82.99080657958984,89.18688201904297,0.9288884997367859,0.30372005701065063,0.21194379031658173,0.16060826182365417,0.00911756232380867,526321,3.57478e+06,1089.19,0.316728
BD_Face_1_norm_pl_measurements.74/066,336.08734130859375,74.57544708251953,66.08734130859375,121.29215240478516,82.82762908935547,89.06693267822266,0.8812375664710999,0.3907437324523926,0.2659692168235779,0.16060826182365417,0.006258048117160797,526321,3.57478e+06,1089.07,0.314848
BD_Face_1_norm_pl_measurements.75/072,342.21002197265625,75.72569274902344,72.21001434326172,121.65776062011719,82.09159851074219,89.1027603149414,0.9227854609489441,0.29609614610671997,0.24656447768211365,0.16060826182365417,0.014692728407680988,526322,3.57478e+06,1089.1,0.312213
BD_Face_1_norm_pl_measurements.76/072,342.2486572265625,76.00415802001953,72.24866485595703,121.70170593261719,81.95008850097656,89.10160064697266,0.9241154193878174,0.2958354353904724,0.24185138940811157,0.16060826182365417,0.011966838501393795,526322,3.57478e+06,1089.1,0.316319
BD_Face_1_norm_pl_measurements.79/063,333.63543701171875,79.98506164550781,63.635433197021484,121.61473083496094,82.250732421875,88.97930908203125,0.8823338747024536,0.4373144507408142,0.1739049255847931,0.16060826182365417,0.013080662116408348,526322,3.57478e+06,1088.98,0.307106
BD_Face_1_norm_pl_measurements.76/066,336.41265869140625,76.37236785888672,66.41266632080078,121.52613830566406,82.4039535522461,89.06250762939453,0.8906508088111877,0.38888126611709595,0.23561082780361176,0.16060826182365417,0.007139966357499361,526322,3.57478e+06,1089.06,0.307867
BD_Face_1_norm_pl_measurements.77/059,329.79644775390625,77.6107177734375,59.796443939208984,121.39852142333984,82.60413360595703,89.12161254882812,0.8441174626350403,0.49135822057724,0.21455256640911102,0.16060826182365417,0.006251919083297253,526321,3.57478e+06,1089.12,0.313223
BD_Face_1_norm_pl_measurements.80/060,330.69427490234375,80.5419692993164,60.69426345825195,121.39429473876953,82.58695983886719,89.1805648803711,0.8601661920547485,0.48281604051589966,0.16432516276836395,0.16060826182365417,0.004363165702670813,526321,3.57478e+06,1089.18,0.307674
BD_Face_1_norm_pl_measurements.79/059,329.2690734863281,79.88111114501953,59.26907730102539,121.4031982421875,82.67182159423828,88.93944549560547,0.8462061882019043,0.5030583739280701,0.17569118738174438,0.16060826182365417,0.006403974257409573,526321,3.57478e+06,1088.94,0.311928
BD_Face_1_norm_pl_measurements.81/075,345.30029296875,81.82715606689453,75.30030822753906,121.05451202392578,83.43321990966797,88.91898345947266,0.9574452638626099,0.25117552280426025,0.14215977489948273,0.16060826182365417,0.0075001828372478485,526321,3.57478e+06,1088.92,0.318134
BD_Face_1_norm_pl_measurements.86/245,155.9753875732422,86.3687973022461,245.9753875732422,121.11975860595703,83.2098617553711,88.96488189697266,-0.9115369319915771,-0.4063117206096649,0.06333397328853607,0.16060826182365417,0.012531046755611897,526321,3.57478e+06,1088.96,0.312313
BD_Face_1_norm_pl_measurements.71/052,322.9347839355469,71.13011169433594,52.934791564941406,121.30065155029297,83.05123138427734,88.65026092529297,0.7550645470619202,0.5703304409980774,0.32342028617858887,0.16060826182365417,0.009927899576723576,526321,3.57478e+06,1088.65,0.312124
BD_Face_1_norm_pl_measurements.75/070,340.5908508300781,75.20480346679688,70.59085083007812,121.65875244140625,82.35897064208984,88.63925170898438,0.9118986129760742,0.3212938904762268,0.2553647458553314,0.16060826182365417,0.005624721292406321,526322,3.57478e+06,1088.64,0.314097
BD_Face_1_norm_pl_measurements.73/058,328.6772155761719,73.54424285888672,58.67721176147461,121.50908660888672,82.69866943359375,88.4813232421875,0.8192608952522278,0.49856483936309814,0.28327491879463196,0.16060826182365417,0.008586524985730648,526322,3.57478e+06,1088.48,0.319498
BD_Face_1_norm_pl_measurements.75/053,323.5245666503906,75.16016387939453,53.52455520629883,121.27348327636719,83.38776397705078,88.07266998291016,0.7772909998893738,0.5746497511863708,0.25611788034439087,0.16060826182365417,0.008272688835859299,526321,3.57478e+06,1088.07,0.313831
BD_Face_1_norm_pl_measurements.74/062,332.4062194824219,74.00452423095703,62.406227111816406,121.44507598876953,83.2266845703125,87.91557312011719,0.8519412875175476,0.4452662467956543,0.2755613923072815,0.16060826182365417,0.009326079860329628,526321,3.57478e+06,1087.92,0.306292
BD_Face_1_norm_pl_measurements.81/078,348.25909423828125,81.68128967285156,78.25910949707031,121.55853271484375,82.90782928466797,87.89878845214844,0.9687765836715698,0.20134513080120087,0.1446792334318161,0.16060826182365417,0.00901069212704897,526322,3.57478e+06,1087.9,0.312872
BD_Face_1_norm_pl_measurements.80/082,352.352294921875,80.58104705810547,82.35230255126953,121.60822296142578,82.64747619628906,87.7574234008789,0.9777430891990662,0.1312873661518097,0.16365216672420502,0.16060826182365417,0.0042602503672242165,526322,3.57478e+06,1087.76,0.313406
BD_Face_1_norm_pl_measurements.69/224,134.7207794189453,69.4294204711914,224.7207794189453,121.8050537109375,82.11319732666016,87.55599212646484,-0.6587876677513123,-0.6652400493621826,0.3513609766960144,0.16060826182365417,0.024614283815026283,526322,3.57478e+06,1087.56,0.314971
BD_Face_1_norm_pl_measurements.78/230,140.93270874023438,78.81426239013672,230.93270874023438,121.69383239746094,82.3870620727539,87.73768615722656,-0.7616572380065918,-0.6182605028152466,0.19399014115333557,0.16060826182365417,0.02973293513059616,526322,3.57478e+06,1087.74,0.308959
BD_Face_1_norm_pl_measurements.77/068,338.89947509765625,77.4959945678711,68.89946746826172,122.03797912597656,81.70654296875,87.4797134399414,0.9108214378356934,0.3514665365219116,0.21650783717632294,0.16060826182365417,0.007394447922706604,526322,3.57478e+06,1087.48,0.315461
BD_Face_1_norm_pl_measurements.77/071,341.05377197265625,77.59459686279297,71.05377197265625,122.08515167236328,81.59080505371094,87.46116638183594,0.9237406253814697,0.31710004806518555,0.21482738852500916,0.16060826182365417,0.007478245068341494,526322,3.57478e+06,1087.46,0.316704
BD_Face_1_norm_pl_measurements.88/073,343.356201171875,88.8499526977539,73.35618591308594,121.91358184814453,81.91525268554688,87.7576904296875,0.9579108357429504,0.286363422870636,0.020070841535925865,0.16060826182365417,0.0073364716954529285,526322,3.57478e+06,1087.76,0.316597
BD_Face_1_norm_pl_measurements.88/077,347.44244384765625,88.2804946899414,77.44243621826172,121.84873962402344,82.2257308959961,87.98665618896484,0.9756385684013367,0.21732252836227417,0.03000645898282528,0.16060826182365417,0.011275090277194977,526322,3.57478e+06,1087.99,0.316922
