Name,Strike,Dip,Dip_Dir,Cx,Cy,Cz,Nx,Ny,Nz,Sample_Radius,RMS,Gx,Gy,Gz,Length
BD_delineated_fracture.30/171,81.21408081054688,30.062999725341797,171.21408081054688,119.13201904296875,84.9153823852539,87.48261260986328,0.07651690393686295,-0.49507370591163635,0.8654751181602478,0.24233877658843994,0.002064984291791916,526319,3.57478e+06,1087.48,0.472006
BD_delineated_fracture.81/001,271.01922607421875,81.05361938476562,1.0192229747772217,118.96730041503906,84.57733917236328,86.92024993896484,0.017571456730365753,0.987678050994873,0.15550993382930756,0.19738644361495972,0.0067353337071835995,526319,3.57478e+06,1086.92,0.390485
BD_delineated_fracture.87/260,170.05120849609375,87.94271850585938,260.05120849609375,118.41244506835938,84.93026733398438,87.3051986694336,-0.9843277335166931,-0.1726563423871994,0.03589858114719391,0.19738644361495972,0.025659672915935516,526318,3.57478e+06,1087.31,0.390444
BD_delineated_fracture.26/174,84.74018859863281,26.750816345214844,174.7401885986328,119.45831298828125,84.45255279541016,87.2109603881836,0.041262682527303696,-0.44821590185165405,0.8929725289344788,0.19154559075832367,0.0022363674361258745,526319,3.57478e+06,1087.21,0.376503
BD_delineated_fracture.28/176,86.5140380859375,28.435529708862305,176.5140380859375,119.47518157958984,84.82695007324219,87.40668487548828,0.028952982276678085,-0.4752885103225708,0.8793534636497498,0.19154559075832367,0.006373906508088112,526319,3.57478e+06,1087.41,0.376425
BD_delineated_fracture.78/000,270.6629943847656,78.83145904541016,0.6629840731620789,118.71846008300781,84.58831024169922,86.87767791748047,0.01135186105966568,0.9809959530830383,0.19369566440582275,0.19154559075832367,0.00279177981428802,526319,3.57478e+06,1086.88,0.37743
BD_delineated_fracture.85/259,169.5916748046875,85.0127182006836,259.5916748046875,118.37684631347656,85.1490707397461,87.3998031616211,-0.9798216223716736,-0.17997783422470093,0.08693467825651169,0.19154559075832367,0.018718434497714043,526318,3.57479e+06,1087.4,0.369552
BD_delineated_fracture.73/358,268.2887268066406,73.19831085205078,358.2887268066406,119.63353729248047,84.18846893310547,86.91957092285156,-0.02858784794807434,0.9568840265274048,0.28905999660491943,0.1089511588215828,0.0023759184405207634,526320,3.57478e+06,1086.92,0.205114
BD_delineated_fracture.82/358,268.4058532714844,82.52741241455078,358.4058532714844,118.71498107910156,84.54584503173828,87.12284851074219,-0.027583127841353416,0.9911234378814697,0.13005177676677704,0.1089511588215828,0.0026646035257726908,526319,3.57478e+06,1087.12,0.212979
measurements.Trace.Dip: 077 deg. - Dip direction: 079 deg.,168.856,76.5515,78.8564,110.574,95.1357,90.9364,0.954242,0.18797,0.232572,NA,UNK,526311,3.5748e+06,1090.94
