Wavelength	REM49059000003.asd
350	 1.53756994764922 
351	 2.12173118307207 
352	 1.62901184941212 
353	 2.08058935500305 
354	 1.98828571187002 
355	 1.39175675870099 
356	 0.866069480614432 
357	 1.38298172503019 
358	 1.68387317356576 
359	 1.33337578045874 
360	 2.17219068631873 
361	 2.68519751662159 
362	 2.64152642975406 
363	 2.63244651605124 
364	 3.40762254172441 
365	 3.9516358502389 
366	 3.36374745990065 
367	 3.35989074055713 
368	 3.43260225149504 
369	 3.48660947472059 
370	 4.48996076819806 
371	 4.36852133987105 
372	 3.50289027777852 
373	 3.51148355161052 
374	 4.17644464426155 
375	 4.64780708235106 
376	 4.29253531794837 
377	 3.70847759228506 
378	 3.64694904418675 
379	 4.195166757667 
380	 4.57118463635504 
381	 4.42359757809248 
382	 4.11330848023154 
383	 4.31210433173575 
384	 4.42731401401426 
385	 4.98590503274344 
386	 5.96386906199524 
387	 4.68821807503441 
388	 4.42969016669664 
389	 5.80357706832585 
390	 6.07238922636053 
391	 6.34935358416902 
392	 6.45666729924261 
393	 5.92101158722519 
394	 5.73625867594697 
395	 6.31498561251915 
396	 7.50722885487998 
397	 7.76826802529709 
398	 7.69174304325845 
399	 7.85175165636389 
400	 8.95547280467729 
401	 8.56736598198763 
402	 7.96622481625878 
403	 9.57350675293014 
404	 9.77554781587976 
405	 9.52830236567557 
406	 9.95363158931358 
407	 10.4480971381806 
408	 10.0650167314756 
409	 9.31178307454741 
410	 10.7752619707678 
411	 12.0839505454876 
412	 12.3706430666037 
413	 11.5493353423837 
414	 12.05329546559 
415	 12.8019549245006 
416	 12.7850528597469 
417	 13.7707747306721 
418	 14.2999367667718 
419	 14.1412054189853 
420	 15.0458669956245 
421	 15.7224262316286 
422	 16.1624475758563 
423	 16.8959710793479 
424	 17.2998283887725 
425	 17.6188029591568 
426	 18.1339890229079 
427	 18.4904752538217 
428	 18.7916015708543 
429	 19.0772650413381 
430	 19.2073755947216 
431	 19.4034598843741 
432	 19.9740134036301 
433	 21.262331376995 
434	 21.7517814794769 
435	 21.6667856579416 
436	 21.6789566099599 
437	 22.0210426045161 
438	 22.914769270892 
439	 24.0204197920859 
440	 23.6342571354435 
441	 23.140330636052 
442	 23.3119295862451 
443	 24.5568443079038 
444	 25.1504962977249 
445	 25.4937861896572 
446	 26.5315667265827 
447	 27.2318785960493 
448	 27.4309137119448 
449	 27.3270024970043 
450	 27.8231625276727 
451	 28.6079021209807 
452	 29.4868076452677 
453	 30.4029461768469 
454	 31.2949629121517 
455	 31.7760047922369 
456	 31.4229435715906 
457	 31.799936719249 
458	 32.258324533623 
459	 32.1802687720354 
460	 33.1206125107492 
461	 34.2133166709591 
462	 34.7275294232172 
463	 34.1535784383083 
464	 33.6767456977991 
465	 33.7909937762346 
466	 34.5589035013041 
467	 35.1744081705096 
468	 35.4400960402071 
469	 35.4555068269724 
470	 35.9112653604374 
471	 36.5415955124788 
472	 37.0051206971336 
473	 36.9266267882001 
474	 37.4454698039781 
475	 38.3945796415638 
476	 37.9278956650202 
477	 38.6391051182637 
478	 39.7817487347819 
479	 39.3651261094367 
480	 40.1654812524701 
481	 41.4119191849714 
482	 42.0254529698935 
483	 42.5670997562458 
484	 43.6691533926228 
485	 45.2438673977337 
486	 45.6982856037072 
487	 46.4414974472377 
488	 47.6826179312416 
489	 48.8256722163173 
490	 50.4634092092796 
491	 52.1259602905469 
492	 53.2490881952261 
493	 55.308848004839 
494	 57.6433842185011 
495	 59.9610274175938 
496	 64.1352214694554 
497	 68.2482418798652 
498	 71.7259160123522 
499	 75.7401016267049 
500	 80.6862148364123 
501	 86.520598097257 
502	 92.8808079864442 
503	 99.6476510762234 
