No.	Trend	Plunge	Longitude	Latitude	Elevation	Units	Day	Month	Year	Notes	Label	Strabo Type	Strabo quality
0	40	11	121.479	82.3353	89.9345	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2074			0
1	90	21	105.319	105.829	92.1887	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2069			0
2	66	7	112.547	91.6512	87.5647	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2065			0
3	67	13	99.1368	113.167	87.7097	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2058			0
4	69	11	110.388	96.1405	88.7789	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2049			0
5	50	9	104.307	104.088	87.603	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2039			0
6	47	12	106.805	99.4167	86.0197	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2019			0
7	63	11	121.664	82.5786	87.978	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2005			0
8	72	7	100.345	110.342	87.4025	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2000			0
9	46	5	119.271	84.356	86.4711	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1993			0
10	64	24	103.425	106.379	89.5021	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1992			0
11	62	15	112.289	92.1941	88.5527	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1974			0
12	69	14	108.904	101.725	92.8774	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1949			0
13	59	11	100.865	109.077	86.2615	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1946			0
14	76	3	99.2609	116.219	89.8114	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1928			0
15	77	12	133.467	73.1648	87.712	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1925			0
16	79	14	104.485	105.612	90.2419	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1911			0
17	83	20	98.6712	115.412	86.4965	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1909			0
18	78	23	102.424	106.098	86.8514	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1873			0
19	75	2	108.888	96.5246	85.8805	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1865			0
20	80	20	121.517	83.9143	91.6018	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1864			0
21	62	3	108.948	98.8817	88.8944	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1862			0
22	71	6	107.66	98.5083	85.8964	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1844			0
23	61	22	99.8699	114.62	89.6551	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1836			0
24	58	21	105.398	102.013	87.1088	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1814			0
25	66	19	119.845	84.6523	87.5625	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1809			0
26	73	10	121.967	81.616	88.4163	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1793			0
27	60	12	116.781	86.1307	86.202	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1790			0
28	50	13	119.616	85.4221	90.1166	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1947			0
29	58	26	100.051	112.71	89.8515	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1763			0
30	73	13	101.271	110.12	90.5716	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1760			0
