No.	Trend	Plunge	Longitude	Latitude	Elevation	Units	Day	Month	Year	Notes	Label	Strabo Type	Strabo quality
0	177	3	124.702	79.576	88.4839	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2050			0
1	174	28	116.654	87.0667	89.4316	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2044			0
2	176	30	117.788	86.4841	90.1592	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2027			0
3	183	5	125.042	79.7799	89.4895	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2026			0
4	186	5	123.702	79.4691	86.5033	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1976			0
5	177	20	127.697	77.197	88.4213	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1961			0
6	184	1	119.19	86.1422	91.037	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1910			0
7	203	1	132.377	73.6399	87.2394	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1901			0
8	201	2	106.971	102.458	91.8645	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1897			0
9	200	16	120.486	83.6641	87.4655	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1884			0
10	200	20	134.415	72.0972	87.5824	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1826			0
11	181	26	118.681	85.2575	87.9517	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1821			0
12	183	5	118.582	84.6421	86.6193	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1817			0
13	172	11	128.647	77.0892	90.2378	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1802			0
14	184	7	127.506	77.9085	89.5474	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1753			0
15	189	1	125.484	78.7713	86.9838	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1738			0
16	185	1	124.477	80.5889	90.1726	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1922			0
17	173	4	122.859	79.9013	87.6162	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1691			0
18	193	13	116.195	87.6457	88.1937	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1689			0
19	201	14	136.16	70.8317	88.6276	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1680			0
20	199	2	129.498	77.2439	89.6364	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1649			0
