No.	Trend	Plunge	Longitude	Latitude	Elevation	Units	Day	Month	Year	Notes	Label	Strabo Type	Strabo quality
176	268	17	104.657	105.251	90.3808	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|370			0
177	260	29	133.752	73.7301	91.4029	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|421			0
178	242	10	101.279	108.09	85.5646	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1883			0
179	259	13	124.084	80.3811	89.2074	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1457			0
180	262	6	102.717	109.693	91.8757	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|808			0
181	270	1	132.576	74.7206	90.9221	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|240			0
182	256	1	125.746	79.7496	90.4378	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1115			0
183	227	1	131.054	75.2861	89.5745	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|366			0
184	249	4	131.379	74.8728	89.44	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|538			0
185	250	6	105.166	103.085	87.8497	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1228			0
186	241	9	130.64	75.5012	90.2983	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|761			0
187	231	32	109.704	99.6063	90.589	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|324			0
188	249	10	102.411	105.698	85.4946	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1874			0
189	254	8	123.319	82.0333	91.1908	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|816			0
190	242	42	102.599	106.805	89.0611	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|336			0
191	257	28	127.943	77.085	87.5734	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|705			0
192	259	5	109.05	101.074	92.9163	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1767			0
193	262	21	123.652	81.4704	90.5354	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|819			0
194	246	3	127.167	78.5142	90.4561	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|995			0
195	243	40	130.893	75.6024	89.746	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|288			0
196	243	22	107.659	101.298	90.6071	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|938			0
197	249	30	107.949	100.762	90.0627	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|396			0
198	259	13	103.191	108.287	92.2729	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|851			0
199	257	1	123.511	81.1441	89.003	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|371			0
200	239	31	126.508	77.5817	88.2445	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1903			0
201	252	15	99.4941	116.084	91.2085	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2014			0
202	244	15	133.963	72.2206	89.6628	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1015			0
203	258	13	110.302	96.7175	90.8723	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2048			0
204	238	12	102.525	110.935	91.7497	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|256			0
205	264	2	107.243	99.2257	86.695	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|377			0
206	233	1	126.927	77.2226	86.3511	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|963			0
207	238	25	111.911	92.0449	87.618	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|771			0
208	250	22	107.439	101.527	91.1992	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|231			0
209	229	32	133.059	73.1195	89.914	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|338			0
210	267	3	105.756	106.045	93.3186	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|251			0
211	230	2	113.739	91.6608	90.0126	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1042			0
212	254	19	132.869	73.896	89.5422	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2066			0
213	272	10	135.54	70.9488	86.7181	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|213			0
214	261	16	110.807	100.017	93.9607	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|605			0
215	241	6	102.083	109.698	91.2505	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|121			0
216	239	9	127.2	76.6955	86.3024	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1556			0
217	263	37	107.471	99.4586	87.8597	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|587			0
218	269	3	109.149	99.3701	89.8544	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1360			0
219	267	26	99.9806	112.417	89.3421	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|618			0
220	238	19	132.881	73.1173	90.2286	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|166			0
221	266	12	112.438	94.1987	92.5428	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|449			0
222	267	5	114.713	92.2485	92.5154	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|163			0
223	254	24	113.629	91.8035	89.9653	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|312			0
224	264	4	117.256	88.2684	91.0878	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1338			0
225	236	37	100.642	111.64	90.1225	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|52			0
226	231	3	100.563	115.716	92.3721	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|123			0
227	266	4	131.06	75.4768	89.5579	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|955			0
228	250	18	99.9064	110.983	85.4598	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|849			0
229	263	4	114.94	89.7113	89.5233	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|92			0
230	251	20	130.946	75.1338	88.3385	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2007			0
231	240	4	107.059	101.69	91.1061	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|715			0
232	237	11	128.052	77.7638	90.7136	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|63			0
233	247	45	118.032	85.7141	88.3979	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|89			0
234	263	2	101.909	106.9	84.9991	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|349			0
235	238	9	121.036	84.7418	91.4365	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|182			0
236	234	1	108.783	101.822	92.3091	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|739			0
237	252	20	102.513	107.374	89.7748	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|865			0
238	266	32	116.69	86.367	86.7671	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|37			0
239	228	11	127.179	77.8092	91.3376	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|343			0
240	243	16	114.284	90.3531	86.7995	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|951			0
241	263	31	117.25	88.54	90.9664	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|926			0
242	240	4	125.168	78.8592	86.9937	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|579			0
