No.	Trend	Plunge	Longitude	Latitude	Elevation	Units	Day	Month	Year	Notes	Label	Strabo Type	Strabo quality
0	38	35	112.563	92.7719	90.7361	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2073			0
1	3	41	107.988	103.064	93.234	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2071			0
2	43	46	120.96	83.0118	86.1811	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2063			0
3	13	49	127.408	77.315	88.9701	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2062			0
4	42	26	116.034	86.8212	86.1193	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2060			0
5	17	57	132.797	73.6543	87.8497	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2056			0
6	46	35	114.473	90.5324	87.2612	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2055			0
7	30	45	126.468	79.3298	90.6863	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2047			0
8	36	49	115.476	90.4157	90.8792	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2046			0
9	21	50	131.697	74.4396	88.9787	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2034			0
10	58	33	109.776	94.9824	85.7797	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2033			0
11	29	39	113.296	91.1611	87.6297	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2029			0
12	48	53	104.779	102.325	85.3759	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2028			0
13	31	40	119.589	85.7224	90.496	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2017			0
14	58	37	99.5988	111.873	85.6997	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2015			0
15	56	42	109.775	98.3912	92.6556	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2011			0
16	59	65	114.107	93.9569	92.6901	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2010			0
17	15	60	130.694	76.2472	90.7641	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2006			0
18	23	25	135.523	71.6108	89.7112	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1995			0
19	45	66	115.949	91.2566	92.263	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1983			0
20	26	56	114.791	92.1062	92.2204	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1982			0
21	60	53	106.399	104.932	93.1983	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1981			0
22	3	51	130.309	75.188	87.1651	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1967			0
23	45	60	133.754	73.3851	90.9147	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1963			0
24	30	31	115.13	88.5996	87.5571	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1960			0
25	51	74	113.697	88.9472	85.4033	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1959			0
26	31	27	109.118	98.7259	88.4222	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1958			0
27	27	66	103.047	109.574	92.6575	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1956			0
28	53	41	107.971	99.3272	88.0578	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1955			0
29	15	56	124.352	81.588	91.237	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1952			0
30	41	26	101.039	109.665	88.3787	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1948			0
31	39	53	121.755	82.7015	90.4125	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1945			0
32	53	82	128.931	75.0426	86.1266	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1941			0
33	52	32	101.4	111.733	91.101	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1935			0
34	51	39	118.804	85.7361	90.0343	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1934			0
35	35	44	100.822	110.398	89.4284	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1932			0
36	67	78	100.178	108.529	84.7403	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1931			0
37	59	67	106.337	98.8592	85.1239	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1930			0
38	59	50	99.3987	116.397	90.5071	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1929			0
39	60	48	101.841	109.295	90.9072	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1923			0
40	35	41	119.071	84.2319	85.8784	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1906			0
41	10	65	115.691	89.3156	90.3454	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1895			0
42	47	33	108.435	101.996	92.2452	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1892			0
