Wavelength	REM49059000002.asd
350	 3.17158284569855 
351	 3.99634040165629 
352	 3.76306339743989 
353	 4.01231287397306 
354	 4.5807838009494 
355	 5.01245467381386 
356	 4.88283246728989 
357	 4.90773309027468 
358	 5.40054366400094 
359	 6.14146099552375 
360	 5.72167908969703 
361	 5.75831458925647 
362	 6.4315510286117 
363	 6.99301005602652 
364	 7.34680377179397 
365	 7.3224292902548 
366	 7.0808212488435 
367	 8.368878413525 
368	 8.97332483767607 
369	 8.3587120565 
370	 9.1608304899619 
371	 9.70405149086288 
372	 9.54333259377148 
373	 8.87303625094996 
374	 9.67414032483387 
375	 10.6271811761869 
376	 10.4958881245022 
377	 10.9310073454776 
378	 10.8659930294545 
379	 10.4018257813137 
380	 11.4550349157096 
381	 12.1085330992383 
382	 12.3092078860963 
383	 12.7009343329605 
384	 12.4157599883607 
385	 12.7614417021734 
386	 14.2905039588416 
387	 13.8477143835126 
388	 13.6461748945847 
389	 14.463812880044 
390	 15.299737733333 
391	 16.3724570789958 
392	 17.1822604399124 
393	 17.1438148977902 
394	 17.7926152702322 
395	 18.4243264064511 
396	 18.6085168766159 
397	 20.0536971936254 
398	 20.9284172666941 
399	 21.0815510277884 
400	 22.4973283744757 
401	 23.459876619365 
402	 24.2175160885978 
403	 25.6548856284351 
404	 26.8138225791706 
405	 27.7543015770156 
406	 28.7001829699577 
407	 29.9331522759811 
408	 30.8648260652103 
409	 31.5180792441196 
410	 32.7434357269112 
411	 34.1027896116815 
412	 35.2446823187112 
413	 35.955056634696 
414	 37.7704751067986 
415	 40.5180373854503 
416	 43.3788835220838 
417	 44.4020421294348 
418	 44.844214193728 
419	 45.7352173452311 
420	 47.8846591147477 
421	 49.9687774856039 
422	 51.6483294208593 
423	 53.0959390281801 
424	 55.2735105897452 
425	 57.2575739099283 
426	 58.306054373424 
427	 60.3021258701592 
428	 62.2777843721183 
429	 63.7389327834293 
430	 65.1223747141511 
431	 67.1813848805105 
432	 69.6110647531545 
433	 71.3616131619211 
434	 72.0275525081338 
435	 72.7639004591275 
436	 74.7010688370635 
437	 76.0949295768518 
438	 77.8709560762863 
439	 79.9862991321915 
440	 79.340417581696 
441	 79.9778758972776 
442	 82.3504858264497 
443	 83.9184004142653 
444	 85.3015359111414 
445	 86.5023165948027 
446	 87.4531723904395 
447	 88.4784483367206 
448	 89.1345267367884 
449	 89.3622131598503 
450	 90.6031304580816 
451	 91.7963742065085 
452	 92.4979594439814 
453	 92.957049367992 
454	 93.5885079076719 
455	 94.5149316958089 
456	 95.6552245888117 
457	 96.2710712134098 
458	 96.9519410682181 
459	 98.0877662140346 
460	 97.790764694124 
461	 98.4965519229798 
462	 100.597624693431 
463	 100.112057930908 
464	 100.52359946916 
465	 101.853078409928 
466	 101.904679591628 
467	 103.119873907502 
468	 104.894015277754 
469	 105.88173071747 
470	 105.962232169569 
471	 106.450662576706 
472	 107.899066864461 
473	 108.297009030792 
474	 109.1203868393 
475	 110.409569054496 
476	 110.40404219206 
477	 112.026879776262 
478	 114.530358357052 
479	 115.665148944543 
480	 116.890306522904 
481	 118.367500802537 
482	 119.956500641237 
483	 121.137312937695 
484	 122.617893960726 
485	 124.531969818395 
486	 125.646719369608 
487	 127.810754629637 
488	 130.612127568328 
489	 131.932856821655 
490	 133.843145704257 
491	 135.999805731562 
492	 137.479511870288 
493	 138.761125604415 
494	 140.685213689945 
495	 143.637706868427 
496	 146.64047423416 
497	 149.227494975835 
498	 151.619227564168 
499	 155.172573668175 
500	 157.835196970601 
501	 160.141452562322 
502	 163.870520825599 
503	 166.257498883301 
504	 168.964809571617 
505	 173.808129511665 
506	 177.543830000183 
507	 180.922120241839 
508	 184.773445774633 
509	 189.523944903473 
510	 194.060058523614 
511	 198.193779626124 
512	 202.597393463382 
513	 208.06623440844 
514	 214.350096606064 
515	 220.662531746626 
516	 226.135027098395 
517	 232.349016475604 
518	 240.555168211123 
519	 248.682502625716 
520	 257.249932000313 
521	 266.512097025992 
522	 275.988752613102 
523	 286.145026539916 
524	 296.647315799089 
525	 306.505146603525 
526	 318.49040225838 
527	 331.230113912795 
528	 342.345600394055 
529	 354.182768121694 
530	 366.32031471755 
531	 378.081827849927 
532	 389.212548583344 
533	 399.883825624954 
534	 410.376158017435 
535	 421.267608768795 
536	 431.737972957081 
537	 441.44764816378 
538	 450.31077205085 
539	 459.071880523144 
540	 468.043995557286 
541	 477.197807227537 
542	 485.03784038729 
543	 493.215313759901 
544	 502.620176653441 
545	 511.089279694697 
546	 519.071675021194 
547	 526.862285063392 
548	 534.590652288708 
549	 542.435235086355 
550	 550.235196284679 
551	 557.580571424902 
552	 563.639247759088 
553	 568.28046900314 
554	 571.760377014636 
555	 575.150419473611 
556	 578.205733608055 
557	 580.486222702287 
558	 581.336273875866 
559	 581.318115343851 
560	 580.297143586492 
561	 577.242183655194 
562	 574.352119674948 
563	 571.423363708862 
564	 567.194004840257 
565	 562.096354110762 
566	 556.035472924053 
567	 549.222645271342 
568	 543.82923140309 
569	 537.564150658357 
570	 529.717648876653 
571	 523.53832153434 
572	 518.327373913914 
573	 513.297471829756 
574	 507.242897279268 
575	 502.275027416683 
576	 498.502436102514 
577	 495.291566825108 
578	 492.968394252072 
579	 491.393884394645 
580	 490.56846432183 
581	 491.411631086149 
582	 493.128995867904 
583	 495.599894974584 
584	 500.335530944938 
585	 505.677871700132 
586	 510.628632483097 
587	 514.537836886384 
588	 517.32312076805 
589	 518.137124338174 
590	 516.265864915122 
591	 514.398253196722 
592	 512.357773369075 
593	 509.571464207627 
594	 505.737888306674 
595	 501.591232603179 
596	 497.285938071386 
597	 492.102224590175 
598	 484.826298891875 
599	 476.946665892864 
600	 472.007700972523 
601	 465.99194785381 
602	 459.069702202815 
603	 452.629821976277 
604	 447.29868897976 
605	 442.760401353628 
606	 438.528127069816 
607	 434.204492724229 
608	 429.043342678501 
609	 423.463635034291 
610	 419.845304368071 
611	 415.862345903962 
612	 411.737832967821 
613	 408.996148119048 
614	 405.93988996882 
615	 402.113644731557 
616	 397.661878675753 
617	 394.411371886664 
618	 390.982861792371 
619	 386.626453417607 
620	 383.107604878392 
621	 379.768547535267 
622	 376.052323762525 
623	 371.378957019065 
624	 365.955168223025 
625	 361.316128169184 
626	 359.667983960609 
627	 360.280787469266 
628	 362.035500223646 
629	 363.994676898003 
630	 366.994538789171 
631	 370.442383861457 
632	 373.939667123879 
633	 377.590032950544 
634	 381.944971105743 
635	 386.954834286746 
636	 391.986257150964 
637	 397.203959869448 
638	 402.283176011521 
639	 406.849964449983 
640	 412.114764226561 
641	 417.059937923359 
642	 420.936906498529 
643	 425.617456519673 
644	 430.103237287166 
645	 433.768357090229 
646	 436.658616805739 
647	 439.530801400511 
648	 442.525606579388 
649	 445.34913751571 
650	 447.787835156638 
651	 450.416092556184 
652	 453.851303993935 
653	 457.111931851516 
654	 459.282057314094 
655	 460.231860208313 
656	 461.877785549472 
657	 464.697056178505 
658	 468.133635635269 
659	 470.081069065987 
660	 471.733177879772 
661	 473.827929939577 
662	 476.9742127746 
663	 480.439197139555 
664	 483.258330474924 
665	 485.000366987469 
666	 488.031051558184 
667	 492.414831233302 
668	 497.505927649077 
669	 501.45755459366 
670	 504.921366616668 
671	 508.719845666542 
672	 514.037945263375 
673	 520.211262571686 
674	 526.273988456435 
675	 531.347030188962 
676	 537.380479471418 
677	 544.088824418827 
678	 550.860637769627 
679	 557.15100383675 
680	 563.813244255634 
681	 571.148019798813 
682	 578.841729226167 
683	 584.64136774156 
684	 589.536680397014 
685	 596.396966614543 
686	 601.509324870711 
687	 606.46160589906 
688	 613.183485553744 
689	 617.782557533643 
690	 622.611778911646 
691	 629.592367197909 
692	 638.583863538452 
693	 649.771456901129 
694	 664.229032443819 
695	 683.938885511218 
696	 709.099492062006 
697	 740.364142488418 
698	 778.550269070019 
699	 824.772264305698 
700	 880.176884031981 
701	 945.391229631536 
702	 1019.64392557715 
703	 1103.155280789 
704	 1195.73585827193 
705	 1296.44196707585 
706	 1407.16388188491 
707	 1527.04734530311 
708	 1654.09473226531 
709	 1792.56147046182 
710	 1941.452280389 
711	 2099.38204016325 
712	 2268.49159743353 
713	 2448.76319952189 
714	 2639.97296522065 
715	 2841.67309788601 
716	 3054.56181713644 
717	 3278.34715782134 
718	 3512.00742251408 
719	 3753.76699083862 
720	 4003.9140676049 
721	 4263.05785194664 
722	 4530.03671272169 
723	 4801.70322960689 
724	 5076.11861409649 
725	 5354.81864463829 
726	 5634.20301065289 
727	 5912.14039129173 
728	 6187.6749362038 
729	 6460.49329483068 
730	 6729.43326244505 
731	 6993.05808021639 
732	 7250.24307138179 
733	 7500.55996758562 
734	 7742.9877481391 
735	 7974.11690874248 
736	 8196.73568011228 
737	 8410.81661307538 
738	 8613.26386915143 
739	 8803.14053995673 
740	 8979.7974277603 
741	 9143.01092163039 
742	 9293.55681397318 
743	 9431.30500137018 
744	 9557.14382567486 
745	 9675.55443705862 
746	 9784.89482155801 
747	 9885.12597387475 
748	 9978.21479356443 
749	 10066.044977499 
750	 10144.4629890855 
751	 10207.4510602626 
752	 10263.8573158667 
753	 10311.3799912219 
754	 10348.6964970898 
755	 10384.1602816958 
756	 10413.9452921388 
757	 10436.8822064067 
758	 10455.4234797904 
759	 10469.2959656878 
760	 10478.8017420903 
761	 10484.5168123276 
762	 10488.0026401892 
763	 10489.0450038865 
764	 10487.3423976692 
765	 10483.8263905851 
766	 10475.8816428258 
767	 10463.4497907077 
768	 10449.7614321939 
769	 10433.8330579281 
770	 10416.6784796163 
771	 10399.6345903113 
772	 10379.5934419495 
773	 10357.8024255894 
774	 10335.603388135 
775	 10312.7655013563 
776	 10287.8238681285 
777	 10260.3703031389 
778	 10231.1766866231 
779	 10199.3880429349 
780	 10166.3134653682 
781	 10133.7256905023 
782	 10100.0139264157 
783	 10065.4468620075 
784	 10030.5418656434 
785	 9996.32394198845 
786	 9959.0548849926 
787	 9919.52445611819 
788	 9882.61997836939 
789	 9845.4055230947 
790	 9806.47071997376 
791	 9765.38440787061 
792	 9725.47818952895 
793	 9684.94765464247 
794	 9642.61088957698 
795	 9599.44011419091 
796	 9554.63772577192 
797	 9508.90832770617 
798	 9463.85762426317 
799	 9418.09301539934 
800	 9371.68006086355 
801	 9324.83710032449 
802	 9277.2141728518 
803	 9228.32115690214 
804	 9178.04585722649 
805	 9126.54090682581 
806	 9077.34492730151 
807	 9029.68744244211 
808	 8980.91666089263 
809	 8931.2624305247 
810	 8881.6785248248 
811	 8832.34766957392 
812	 8780.7608907865 
813	 8729.25797778295 
814	 8677.93829006362 
815	 8624.94257607747 
816	 8573.42062329267 
817	 8521.75325746468 
818	 8467.92249020442 
819	 8415.07269878787 
820	 8363.81760838873 
821	 8314.13540598409 
822	 8265.55933817627 
823	 8215.02219800254 
824	 8164.63702169945 
825	 8118.39623992525 
826	 8068.66007192737 
827	 8017.28047767703 
828	 7966.51998310974 
829	 7915.35582091862 
830	 7863.02415254674 
831	 7810.15959678309 
832	 7758.6848315273 
833	 7708.70140357741 
834	 7658.44886386474 
835	 7606.72198289314 
836	 7557.77958938431 
837	 7510.20585690039 
838	 7462.19969534653 
839	 7411.47808128561 
840	 7362.47508781194 
841	 7314.84798221124 
842	 7266.41210828383 
843	 7217.40795997329 
844	 7168.44261693144 
845	 7119.47892879058 
846	 7068.5539362495 
847	 7018.81511450246 
848	 6970.04309578183 
849	 6920.06674452369 
850	 6871.13991667527 
851	 6823.54756780231 
852	 6776.84531603705 
853	 6729.6577808465 
854	 6681.76336619893 
855	 6634.04045753262 
856	 6588.39238230289 
857	 6542.81267779513 
858	 6497.15748782638 
859	 6451.58493356551 
860	 6405.62829136055 
861	 6357.85450494071 
862	 6309.05616536395 
863	 6263.01478365591 
864	 6215.86288423364 
865	 6167.46211547408 
866	 6118.91383943214 
867	 6070.88395544302 
868	 6023.27882428717 
869	 5976.4277575685 
870	 5931.68273686356 
871	 5886.35924558417 
872	 5840.02387182823 
873	 5793.13758280269 
874	 5745.10769971258 
875	 5698.88733897473 
876	 5654.78954689309 
877	 5607.21764633135 
878	 5559.86982936628 
879	 5513.35154783722 
880	 5466.93483741426 
881	 5419.66689362113 
882	 5372.30344250126 
883	 5325.62667557798 
884	 5280.07563000184 
885	 5235.08403478519 
886	 5190.09482563068 
887	 5144.56271190859 
888	 5098.22292205168 
889	 5052.68699262477 
890	 5008.52052207218 
891	 4963.35129830873 
892	 4919.19261067469 
893	 4875.76925170288 
894	 4831.69830795398 
895	 4786.78085508197 
896	 4742.05125230989 
897	 4697.67019685792 
898	 4651.2756673253 
899	 4606.0081008702 
900	 4561.41887922358 
901	 4515.61408001437 
902	 4470.41021091792 
903	 4426.26311559956 
