No.	Trend	Plunge	Longitude	Latitude	Elevation	Units	Day	Month	Year	Notes	Label	Strabo Type	Strabo quality
78	69	35	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
79	46	67	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
80	60	25	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
81	57	42	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
82	52	48	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
83	63	22	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
84	58	34	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
85	67	47	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
86	59	81	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
87	68	55	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
88	37	51	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
89	53	37	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
90	66	54	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
91	64	35	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
92	47	24	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
93	56	36	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
94	33	50	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
95	71	24	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
96	44	57	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
97	41	61	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
98	39	35	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
99	62	66	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
100	50	31	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
101	63	19	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
102	35	54	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
103	58	62	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
104	56	50	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
105	59	65	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
