No.	Trend	Plunge	Longitude	Latitude	Elevation	Units	Day	Month	Year	Notes	Label	Strabo Type	Strabo quality
78	10	60	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
79	60	33	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
80	73	74	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
81	44	26	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
82	44	32	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
83	75	58	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
84	77	75	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
85	48	46	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
86	24	53	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
87	57	72	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
88	10	70	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
89	41	42	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
90	41	52	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
91	47	61	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
92	41	63	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
93	39	61	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
94	58	52	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
95	88	75	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
96	56	41	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
97	55	72	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
98	51	46	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
99	44	38	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
100	57	38	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
101	29	43	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
102	50	46	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
103	69	35	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
104	24	50	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
105	23	38	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
106	46	67	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
107	21	52	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
108	16	63	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
109	12	48	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
110	57	42	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
111	28	25	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
112	52	48	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
113	13	48	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
114	29	39	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
115	13	71	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
116	58	34	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
117	67	47	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
118	59	81	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
119	68	55	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
120	37	51	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
121	53	37	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
122	66	54	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
123	64	35	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
124	47	24	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
125	56	36	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
126	9	49	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
127	33	50	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
128	355	61	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
129	44	57	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
130	28	38	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
131	41	61	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
132	24	66	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
133	39	35	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
134	62	66	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
135	50	31	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
136	35	54	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
137	58	62	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
138	26	38	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
139	74	46	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
140	15	60	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
141	56	50	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
142	59	65	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
143	9	64	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
