centerx,centery,centerz,normalx,normaly,normalz,rms,horiz_ext,vert_ext,surf_ext,surface,dip dir.,dip,family ind.,subfamily ind.,,strike
122.372,81.1404,85.9868,0.523157,0.556376,-0.645563,0.0331633,0.724099,0.733781,0.53133,0.326347,223,49,0,0,,133
99.657,113.094,88.4155,0.501014,0.385685,-0.774747,0.0599412,2.46165,2.57134,6.32974,2.41425,232,39,0,0,,142
114.253,90.0081,86.1406,0.51451,0.579267,-0.632241,0.0439536,1.99725,1.60103,3.19766,1.83386,221,50,0,0,,131
124.069,79.441,87.6189,0.30459,0.857258,-0.41513,0.041829,2.1989,1.8592,4.08818,1.08629,199,65,0,0,,109
108.888,96.5246,85.8805,0.968047,0.249434,-0.0258177,0.0298817,0.681445,1.37572,0.937476,0.421869,255,88,0,0,,165
121.517,83.9143,91.6018,0.930882,0.147739,-0.334115,0.05989,1.01002,0.778682,0.786487,0.354595,260,70,0,0,,170
112.156,91.7061,87.2288,0.38396,0.677496,-0.627354,0.0297145,1.22864,0.876135,1.07645,0.686236,209,51,0,0,,119
132.849,73.4611,86.8232,0.394045,0.795377,-0.460547,0.0400387,1.37295,0.813009,1.11622,0.545853,206,62,0,0,,116
122.882,80.1854,86.2541,0.908637,0.325575,0.261496,0.0187808,1.3976,0.968933,1.35418,0.720647,70,74,0,0,,340
109.116,100.113,90.9467,-0.324753,-0.513589,0.794205,0.0457509,1.44743,0.942566,1.3643,0.562986,212,37,0,0,,122
107.236,99.0167,85.8939,0.499906,0.865271,0.0374253,0.0262454,0.719968,0.44745,0.322149,0.305317,30,87,0,0,,300
128.808,75.3521,86.2165,-0.390413,-0.322199,0.862418,0.0308034,1.31994,0.61471,0.811382,0.422136,230,30,0,0,,140
111.025,98.5527,93.3487,0.422641,0.432829,-0.796262,0.0542012,0.964152,0.946808,0.912866,0.41778,224,37,0,0,,134
107.66,98.5083,85.8964,0.944163,0.313833,-0.100322,0.0322548,0.815218,0.770581,0.628192,0.320911,251,84,0,0,,161
99.8699,114.62,89.6551,0.815585,0.446739,-0.367758,0.0588026,1.29695,1.46271,1.89706,0.792347,241,68,0,0,,151
101.49,106.74,84.8945,-0.209772,-0.388787,0.897129,0.0462094,0.857575,0.752468,0.645297,0.350415,208,26,0,0,,118
110.592,96.5397,89.4881,0.858201,0.0581501,-0.510009,0.0368072,0.853458,0.647054,0.552233,0.338179,266,59,0,0,,176
100.142,112.715,89.26,0.755932,-0.0199184,0.654347,0.0380057,1.20607,0.938354,1.13172,0.633247,91,49,0,0,,1
129.662,76.8846,90.4714,0.63241,0.771894,0.0651023,0.0656486,1.19692,0.878741,1.05178,0.646656,39,86,0,0,,309
99.7465,115.515,91.8241,0.734483,0.374049,-0.566235,0.0359065,1.28262,0.741464,0.951018,0.676126,243,55,0,0,,153
107.777,98.2502,86.2618,0.86282,0.409353,0.296601,0.034843,1.57493,0.472613,0.74433,0.564711,64,72,0,0,,334
102.377,107.67,90.6737,0.976275,0.0662767,0.206143,0.0718027,1.25123,1.33754,1.67356,0.883785,86,78,0,0,,356
104.088,109.671,93.2267,0.753938,0.0306655,-0.656229,0.047165,1.30817,1.4701,1.92313,0.914599,267,48,0,0,,177
112.722,93.8644,91.9669,0.171108,0.888905,-0.424934,0.0439605,1.02074,0.734526,0.749762,0.440726,190,64,0,0,,100
108.099,97.644,85.73,0.551898,0.569862,-0.608823,0.0384608,1.40699,0.916089,1.28893,0.614038,224,52,0,0,,134
104.682,101.14,85.0383,-0.381652,0.278549,0.881335,0.0403465,0.780027,0.82108,0.640465,0.346431,306,28,0,0,,216
118.681,85.2575,87.9517,0.0312952,0.901402,0.431851,0.0237688,2.21076,1.31216,2.90087,1.12507,1,64,0,0,,271
100.786,109.451,87.4987,0.592632,0.803604,0.0548413,0.0450977,1.30371,0.995349,1.29764,0.579915,36,86,0,0,,306
108.361,95.9846,85.2092,-0.112834,-0.224719,0.967869,0.0547012,1.64749,2.07276,3.41484,2.10112,206,14,0,0,,116
118.582,84.6421,86.6193,0.064994,0.995141,0.0739619,0.0561524,1.28696,1.73185,2.22882,1.31717,3,85,0,0,,273
104.729,107.473,92.8843,0.78678,0.285745,-0.547109,0.0439901,1.58227,1.01004,1.59815,0.68519,250,56,0,0,,160
119.845,84.6523,87.5625,0.873845,0.37471,-0.309818,0.0393361,1.41009,0.552524,0.779111,0.430388,246,71,0,0,,156
103.942,106.562,91.0503,-0.00666513,0.952548,-0.304317,0.0488329,0.529386,0.80489,0.426097,0.358714,179,72,0,0,,89
108.749,100.886,91.5679,0.338177,0.803642,-0.48969,0.0360318,1.40523,1.31655,1.85005,0.916718,202,60,0,0,,112
128.647,77.0892,90.2378,-0.130499,0.973508,0.187757,0.036886,1.26147,0.947095,1.19473,0.560823,352,79,0,0,,262
115.847,90.121,91.5621,0.884094,0.357444,0.301017,0.0354534,0.864629,1.00214,0.866476,0.509365,67,72,0,0,,337
133.526,72.6662,86.6204,0.32822,0.664917,-0.670937,0.041797,1.06197,1.11629,1.18547,0.586783,206,47,0,0,,116
120.584,83.5117,88.3808,-0.0921043,0.927595,-0.362054,0.0436418,1.07274,0.377003,0.404424,0.337258,174,68,0,0,,84
98.6909,113.395,87.0716,0.718441,0.4715,-0.5114,0.037512,0.606765,0.737588,0.447542,0.333696,236,59,0,0,,146
98.7876,115.735,87.8722,0.925346,0.237396,0.295596,0.0369129,1.31049,1.23947,1.62432,0.980558,75,72,0,0,,345
114.728,89.1046,85.7343,-0.377868,-0.399825,0.835078,0.032802,1.19596,0.591574,0.7075,0.430595,223,33,0,0,,133
106.743,101.976,90.5364,0.984325,0.173689,0.0305879,0.0353937,1.19501,0.780692,0.932938,0.696671,79,88,0,0,,349
100.604,113.143,91.1684,0.923887,0.270709,0.270461,0.0288613,1.94972,1.01666,1.9822,1.16878,73,74,0,0,,343
125.346,78.4637,86.0785,-0.281481,-0.523658,0.804084,0.0336621,2.13308,0.953596,2.0341,0.704136,208,36,0,0,,118
112.765,90.5117,85.6271,0.621317,0.425389,-0.658035,0.0386465,1.00246,0.775575,0.777487,0.439412,235,48,0,0,,145
123.001,79.6491,86.7978,0.569367,0.753027,0.329805,0.0386804,0.790148,0.592969,0.468533,0.373693,37,70,0,0,,307
119.616,85.4221,90.1166,0.751846,0.623421,-0.214647,0.0454951,0.964443,0.913154,0.880685,0.381379,230,77,0,0,,140
104.769,105.686,90.8925,0.862542,-0.235257,-0.447968,0.0257092,0.560615,0.912783,0.51172,0.349017,285,63,0,0,,195
100.051,112.71,89.8515,0.769049,0.476865,-0.425633,0.0347149,0.941918,0.660548,0.622182,0.388034,238,64,0,0,,148
102.226,106.788,87.8957,0.710032,0.289964,-0.641698,0.0426508,0.969827,0.769046,0.745842,0.416748,247,50,0,0,,157
99.9567,113.81,89.3836,0.906388,-0.00694917,-0.422388,0.0326467,0.975896,1.29245,1.2613,0.599249,270,65,0,0,,180
127.506,77.9085,89.5474,0.0861661,0.990171,0.110166,0.030504,1.05866,0.569844,0.603269,0.344823,4,83,0,0,,274
109.512,101.357,93.8379,0.513795,0.609222,-0.604039,0.036187,0.954175,0.709611,0.677093,0.479418,220,52,0,0,,130
125.484,78.7713,86.9838,0.173119,0.984899,0.0018792,0.050131,0.933061,0.902216,0.841822,0.396415,9,89,0,0,,279
135.3,71.0711,87.3016,0.929674,0.366276,0.039341,0.0432175,0.54026,1.02468,0.553595,0.371687,68,87,0,0,,338
108.641,100.58,89.8756,0.443664,0.878355,-0.177918,0.0541179,0.419741,1.22918,0.515936,0.377494,206,79,0,0,,116
127.126,78.1707,89.9254,0.204659,0.896367,-0.393243,0.0524511,0.985722,1.4577,1.43688,0.678027,192,66,0,0,,102
110.135,97.425,92.4062,0.378125,0.708595,-0.595747,0.0430427,0.602768,0.896628,0.540459,0.39876,208,53,0,0,,118
111.917,92.6428,88.2943,0.417599,0.674222,-0.609128,0.0471005,1.04148,0.771018,0.803003,0.399052,211,52,0,0,,121
105.146,107.266,93.2513,-0.377332,-0.172168,0.909933,0.0548967,2.90181,1.8793,5.45335,1.21155,245,24,0,0,,155
103.189,108.348,91.933,0.98753,0.11945,0.102545,0.0532669,1.49221,1.20629,1.80003,0.839452,83,84,0,0,,353
100.15,114.146,90.1086,0.953983,0.29029,0.0751619,0.030025,1.23935,0.832096,1.03126,0.63496,73,85,0,0,,343
105.61,104.887,90.807,0.81091,0.444009,-0.381158,0.0204093,0.864303,0.54081,0.467424,0.310041,241,67,0,0,,151
124.904,79.3283,88.0947,-0.127214,-0.41016,0.903098,0.0155224,0.598755,0.805144,0.482085,0.308472,197,25,0,0,,107
122.508,82.0051,89.9915,0.179651,0.921642,-0.343949,0.0781541,1.37003,1.22397,1.67687,0.843848,191,69,0,0,,101
117.476,85.5416,87.4192,0.016973,0.991244,-0.130945,0.0413302,1.09481,0.702698,0.769322,0.412232,180,82,0,0,,90
117.253,89.5662,92.1562,-0.257521,-0.22987,0.938532,0.052327,1.97406,1.74356,3.4419,1.43025,228,20,0,0,,138
118.091,85.1871,87.0545,-0.407613,-0.479824,0.77693,0.0251445,0.998422,0.948575,0.947077,0.550446,220,39,0,0,,130
102.14,107.59,89.9278,0.1803,0.981621,-0.0625499,0.03776,0.56228,0.748765,0.421016,0.301466,190,86,0,0,,100
114.624,90.8197,90.3679,-0.0401623,-0.490389,0.870578,0.045069,1.09755,2.23611,2.45425,0.693835,184,29,0,0,,94
116.382,86.7536,87.1816,0.764249,0.597979,-0.241547,0.0725459,1.9408,0.941822,1.82789,0.841228,231,76,0,0,,141
122.529,81.2083,88.8221,-0.182135,-0.322132,0.929009,0.0218906,1.17285,0.892045,1.04623,0.498293,209,21,0,0,,119
129.563,76.6902,88.3373,0.174863,-0.604095,0.777491,0.0309525,0.82181,0.921862,0.757595,0.459037,163,38,0,0,,73
106.407,103.607,92.2251,-0.56378,-0.21603,0.797172,0.0529213,1.15249,0.934896,1.07746,0.73374,249,37,0,0,,159
123.052,82.842,91.4733,-0.314354,-0.404108,0.858998,0.0375362,2.63853,0.900721,2.37658,1.12479,217,30,0,0,,127
120.265,85.6231,91.1274,0.845707,0.412456,-0.338615,0.0288835,0.899316,0.675297,0.607305,0.345621,244,70,0,0,,154
105.315,106.273,92.594,0.794686,0.605786,0.0387032,0.055304,1.30243,1.30399,1.69836,0.793116,52,87,0,0,,322
133.014,74.1508,90.9058,-0.26406,-0.305993,0.914681,0.0301996,1.61215,1.14779,1.8504,0.596447,220,23,0,0,,130
120.823,84.9371,91.3804,0.591345,0.771867,-0.233522,0.0442863,0.87961,0.875691,0.770267,0.384748,217,76,0,0,,127
105.136,105.174,90.8831,-0.0572312,0.862212,-0.503304,0.0425882,0.666115,0.996242,0.663611,0.487289,176,59,0,0,,86
113.795,91.6211,89.4891,0.869331,0.3529,0.346015,0.0343549,0.965732,0.522728,0.504815,0.353529,67,69,0,0,,337
117.922,85.9767,88.6408,0.472939,0.642914,-0.602487,0.0731354,4.44353,3.49741,15.5409,3.84943,216,52,0,0,,126
107.403,99.8626,87.3315,0.911042,0.318098,-0.262329,0.023963,0.763516,0.626746,0.478531,0.317105,250,74,0,0,,160
105.798,103.171,89.205,-0.406005,-0.268631,0.873497,0.0428076,1.07372,0.875621,0.940169,0.468445,236,29,0,0,,146
111.317,93.7186,88.9028,0.631864,0.67092,-0.38809,0.0414046,0.968955,1.05763,1.02479,0.432511,223,67,0,0,,133
134.355,72.3725,89.3256,0.712608,-0.0206058,0.701259,0.0300122,0.880189,0.807301,0.710578,0.307223,91,45,0,0,,1
118.394,85.0776,87.3194,0.990666,0.133307,0.0284632,0.0202863,0.872951,0.683787,0.596912,0.326049,82,88,0,0,,352
135.727,70.7608,87.1849,0.63172,0.774512,-0.0325843,0.046822,0.648171,0.772055,0.500423,0.306525,219,88,0,0,,129
118.118,84.1865,85.5593,-0.16765,-0.137862,0.97616,0.0441403,7.91037,2.26795,17.9403,6.30103,230,12,0,0,,140
115.045,89.5048,88.5244,-0.0917407,-0.495849,0.86355,0.0332668,1.14162,1.42776,1.62996,0.960019,190,30,0,0,,100
104.321,104.635,88.6443,0.734964,0.421483,-0.531206,0.0594514,1.9193,1.62039,3.11001,2.00011,240,57,0,0,,150
132.695,73.927,88.3459,-0.0634672,0.993107,0.0985405,0.0366845,1.23392,1.02611,1.26614,0.816158,356,84,0,0,,266
116.831,88.9246,90.5025,-0.278086,-0.0824603,0.95701,0.0347908,1.25675,1.0244,1.28742,0.341297,253,16,0,0,,163
111.078,93.3755,90.2645,0.989693,0.0858226,0.114643,0.0263182,1.07246,0.853044,0.914855,0.342923,85,83,0,0,,355
117.502,85.4387,86.7999,0.875469,0.478149,0.0702006,0.0515272,0.730664,0.700329,0.511705,0.408788,61,85,0,0,,331
98.697,116.016,87.2719,0.632295,0.64213,-0.433443,0.0383571,0.967265,0.934898,0.904294,0.532876,224,64,0,0,,134
108.986,102.249,93.5955,0.595332,0.612425,-0.520111,0.0300164,0.622975,1.06672,0.66454,0.314214,224,58,0,0,,134
103.49,106.99,91.1654,0.879477,0.247967,-0.406242,0.0509843,0.754948,1.38276,1.04391,0.478433,254,66,0,0,,164
101.347,110.879,91.0275,0.848242,-0.086992,-0.522415,0.0620198,1.41496,1.18155,1.67184,1.06246,275,58,0,0,,185
116.267,87.5437,89.5921,0.998191,0.0513543,0.0312625,0.0340217,1.02173,1.00688,1.02876,0.593852,87,88,0,0,,357
103.707,111.297,93.3402,-0.514864,-0.131871,0.847068,0.0476805,3.24719,2.11827,6.87844,2.25065,255,32,0,0,,165
135.33,70.9315,87.947,0.542579,0.837463,0.0652918,0.0453187,1.08285,0.588147,0.636876,0.384596,32,86,0,0,,302
103.839,108.09,92.4983,0.147853,0.82862,-0.539934,0.0303176,0.611799,0.907108,0.554968,0.332929,190,57,0,0,,100
117.988,86.3619,90.754,-0.144277,0.974589,-0.171349,0.0297508,0.690419,0.686653,0.474078,0.363866,171,80,0,0,,81
110.97,92.3455,85.2894,-0.261569,-0.0556164,0.963581,0.0358876,1.083,1.499,1.62342,1.05168,257,15,0,0,,167
117.726,88.3167,91.8659,-0.521937,-0.461102,0.717612,0.0369814,1.15259,0.915889,1.05565,0.52956,228,44,0,0,,138
